deg
13
17
12
13
14
7
15
11
15
17
8
13
9
10
12
8
16
14
14
11
16
9
8
12
11
11
12
6
6
5
17
10
14
13
9
11
8
11
7
5
10
16
13
9
14
6
8
8
21
13
11
4
12
14
8
3
11
10
5
8
14
7
5
6
