deg
27
17
16
10
15
6
15
6
15
16
11
7
8
6
6
2
20
10
14
6
11
7
3
6
10
5
8
5
3
4
8
8
18
13
9
9
8
7
4
3
10
7
13
3
7
4
5
2
15
7
9
5
6
7
4
3
5
4
3
4
6
2
4
1
