deg
16
19
11
9
13
6
13
6
11
14
7
4
7
6
5
2
15
12
10
7
10
9
3
6
12
4
6
1
3
3
7
6
16
8
8
9
6
6
3
4
8
8
9
3
6
4
4
2
9
7
8
3
4
6
1
2
5
5
2
2
3
2
3
1
