deg
34
20
20
13
24
9
18
8
19
19
12
8
9
7
9
4
22
14
18
9
15
8
5
9
13
7
11
5
4
7
11
9
21
16
14
13
11
9
8
3
14
8
15
3
11
5
7
4
20
8
10
7
9
8
5
3
6
8
6
4
7
3
5
3
