deg
27
28
22
14
20
11
17
12
21
17
10
12
12
9
12
8
20
15
14
12
11
9
6
7
13
7
6
6
4
4
9
8
23
14
11
13
9
9
8
4
12
9
16
6
10
5
7
3
16
11
9
5
9
10
3
5
6
8
4
4
4
4
4
2
