deg
13
18
13
16
15
10
17
14
17
17
15
16
15
12
14
16
16
15
18
14
18
14
9
17
14
14
15
10
8
10
19
14
15
16
14
13
10
16
10
8
11
18
16
14
17
11
10
11
23
17
15
8
13
15
10
7
13
13
7
11
16
9
12
8
