deg
21
15
10
8
13
4
12
5
11
15
8
5
8
6
4
2
16
8
12
6
10
7
2
4
10
3
8
3
3
3
7
6
14
8
8
9
6
6
3
3
7
7
10
3
6
4
4
2
11
5
7
3
4
5
3
2
5
4
3
2
5
2
3
1
