deg
57
34
31
18
37
21
21
12
29
26
18
12
13
12
14
8
29
18
23
13
20
17
9
11
20
11
16
10
9
10
14
11
37
23
24
17
15
17
14
7
17
12
18
8
14
7
14
9
26
13
13
10
12
14
8
6
11
10
8
9
10
7
9
7
