deg
60
36
34
19
31
21
21
16
32
22
19
12
16
12
15
15
31
21
20
15
16
11
11
9
18
12
13
10
7
7
11
15
28
24
16
17
14
13
14
8
19
15
20
9
15
10
12
7
23
15
14
10
14
12
8
6
9
12
9
11
5
8
8
9
