deg
15
16
12
8
11
7
15
6
11
16
9
9
11
5
5
6
14
9
10
6
7
10
6
6
11
5
7
2
9
6
8
10
12
7
11
7
9
6
4
4
8
7
9
7
5
8
5
3
6
6
7
3
5
10
4
6
8
6
2
2
4
5
4
4
