deg
15
14
9
8
11
5
13
4
10
17
7
3
8
5
8
2
12
9
12
5
7
8
5
3
13
6
5
5
4
4
6
7
11
8
9
9
5
7
5
3
6
6
8
2
6
3
3
3
7
4
7
5
4
4
2
2
4
4
2
2
3
3
3
4
