deg
21
19
14
17
16
13
23
17
18
28
18
10
15
15
17
10
20
17
19
17
14
15
14
16
18
17
14
6
10
12
15
17
19
17
18
16
15
19
12
14
14
16
15
12
10
10
11
6
16
15
15
9
12
10
13
16
12
11
12
14
14
13
17
9
