deg
21
20
15
13
14
6
18
11
14
20
8
11
11
10
7
7
15
15
13
13
11
8
5
4
10
8
12
7
6
7
9
11
14
14
12
11
10
5
11
6
10
13
11
8
9
6
6
10
10
8
8
8
3
13
5
3
16
5
5
10
5
4
12
5
