deg
29
34
21
19
26
22
32
19
27
32
25
15
26
22
21
17
29
30
26
30
20
28
17
27
27
29
26
20
29
22
30
29
31
21
22
27
25
17
31
22
24
20
26
29
17
22
27
26
22
39
24
21
17
20
22
21
28
23
23
21
19
32
21
22
